2260;energy;;
1420;power;;
1282;gas;;
992;new;;
912;climate;;
870;electricity;;
686;solar;;
636;wind;;
564;percent;;
560;oil;;
526;fossil;;
482;coal;;
474;global;;
466;renewable;;
422;states;;
392;change;;
390;natural;;
386;countries;;
372;emissions;;
366;fuels;;
362;many;;
356;united;;
346;electric;;
342;clean;;
340;plants;;
324;nuclear;;
300;europe;;
298;people;;
286;world;;
278;carbon;;
274;much;;
270;source;;
252;generation;;
250;fuel;;
250;transition;;
244;projects;;
242;companies;;
242;crisis;;
242;demand;;
236;heat;;
236;need;;
232;prices;;
220;produced;;
212;european;;
204;grid;;
204;nations;;
198;warming;;
194;sources;;
188;government;;
186;company;;
92;president;;
184;industry;;
180;plant;;
172;help;;
168;build;;
166;ukraine;;
160;largest;;
160;major;;
154;billion;;
154;costs;;
154;production;;
152;u.s;;
148;executive;;
146;china;;
142;germany;;
142;utilities;;
140;russian;;
134;data;;
134;dioxide;;
134;panels;;
132;greenhouse;;
132;report;;
132;russia;;
124;chief;;
124;cost;;
124;share;;
122;turbines;;
120;percentage;;
118;agency;;
118;transmission;;
114;million;;
114;national;;
114;officials;;
114;reduce;;
114;supply;;
110;propane;;
110;winter;;
108;policy;;
102;growth;;
09.апр;utility;;
100;imports;;
100;investment;;
98;increase;;
98;international;;
98;shift;;
98;technology;;
96;american;;
96;experts;;
96;Trump;;
94;scientists;;
