"1557;""energy"";"""";"""""
"867;""power"";"""";"""""
"841;""gas"";"""";"""""
"533;""new"";"""";"""""
"407;""climate"";"""";"""""
"361;""oil"";"""";"""""
"357;""countries"";"""";"""""
"332;""renewable"";"""";"""""
"313;""prices"";"""";"""""
"309;""electricity"";"""";"""""
"296;""crisis"";"""";"""""
"278;""european"";"""";"""""
"268;""fossil"";"""";"""""
"266;""europe"";"""";"""""
"261;""wind"";"""";"""""
"257;""coal"";"""";"""""
"254;""global"";"""";"""""
"249;""solar"";"""";"""""
"242;""billion"";"""";"""""
"208;""government"";"""";"""""
"205;""demand"";"""";"""""
"199;""industry"";"""";"""""
"199;""production"";"""";"""""
"199;""supply"";"""";"""""
"190;""fuel"";"""";"""""
"190;""germany"";"""";"""""
"188;""emissions"";"""";"""""
"187;""companies"";"""";"""""
"186;""transition"";"""";"""""
"180;""russian"";"""";"""""
"174;""fuels"";"""";"""""
"172;""plants"";"""";"""""
"171;""capacity"";"""";"""""
"167;""projects"";"""";"""""
"164;""price"";"""";"""""
"157;""green"";"""";"""""
"154;""ukraine"";"""";"""""
"153;""million"";"""";"""""
"152;""natural"";"""";"""""
"148;""need"";"""";"""""
"143;""generation"";"""";"""""
"142;""u.s"";"""";"""""
"140;""nuclear"";"""";"""""
"133;""renewables"";"""";"""""
"133;""russia"";"""";"""""
"132;""clean"";"""";"""""
"132;""supplies"";"""";"""""
"130;""market"";"""";"""""
"121;""investment"";"""";"""""
"121;""states"";"""";"""""
"119;""lng"";"""";"""""
"115;""sources"";"""";"""""
"114;""economy"";"""";"""""
"114;""euros"";"""";"""""
"113;""costs"";"""";"""""
"109;""output"";"""";"""""
"107;""governments"";"""";"""""
"106;""german"";"""";"""""
"104;""minister"";"""";"""""
"101;""state"";"""";"""""
"98;""data"";"""";"""""
"97;""commission"";"""";"""""
"97;""grid"";"""";"""""
"95;""world"";"""";"""""
"94;""carbon"";"""";"""""
"94;""china"";"""";"""""
"93;""investments"";"""";"""""
"93;""support"";"""";"""""
"91;""sector"";"""";"""""
"90;""winter"";"""";"""""
"88;""major"";"""";"""""
"87;""imports"";"""";"""""
"85;""increase"";"""";"""""
"84;""invasion"";"""";"""""
"84;""record"";"""";"""""
"81;""growth"";"""";"""""
"80;""economic"";"""";"""""
"80;""south"";"""";"""""
"79;""higher"";"""";"""""
"79;""largest"";"""";"""""
"77;""international"";"""";"""""
"77;""needs"";"""";"""""
"76;""much"";"""";"""""
"76;""president"";"""";"""""
"74;""africa"";"""";"""""
"74;""coal-fired"";"""";"""""
"74;""union"";"""";"""""
"72;""storage"";"""";"""""
"71;""consumption"";"""";"""""
"71;""group"";"""";"""""
"70;""cap"";"""";"""""
"70;""many"";"""";"""""
"70;""security"";"""";"""""
"69;""policy"";"""";"""""
"69;""producers"";"""";"""""
"68;""biggest"";"""";"""""
"66;""industrial"";"""";"""""
"65;""business"";"""";"""""
"65;""consumers"";"""";"""""
"65;""hydrogen"";"""";"""""
