"2195;""energy"";"""";"""""
"1249;""climate"";"""";"""""
"1093;""power"";"""";"""""
"945;""new"";"""";"""""
"842;""gas"";"""";"""""
"698;""wind"";"""";"""""
"627;""clean"";"""";"""""
"575;""u.s"";"""";"""""
"554;""electricity"";"""";"""""
"552;""solar"";"""";"""""
"511;""oil"";"""";"""""
"506;""change"";"""";"""""
"502;""state"";"""";"""""
"497;""emissions"";"""";"""""
"420;""coal"";"""";"""""
"394;""people"";"""";"""""
"391;""president"";"""";"""""
"391;""world"";"""";"""""
"390;""million"";"""";"""""
"387;""electric"";"""";"""""
"387;""nuclear"";"""";"""""
"380;""carbon"";"""";"""""
"380;""fossil"";"""";"""""
"378;""renewable"";"""";"""""
"372;""environmental"";"""";"""""
"366;""companies"";"""";"""""
"356;""industry"";"""";"""""
"355;""government"";"""";"""""
"353;""countries"";"""";"""""
"350;""share"";"""";"""""
"320;""many"";"""";"""""
"318;""fuels"";"""";"""""
"314;""global"";"""";"""""
"310;""biden"";"""";"""""
"309;""billion"";"""";"""""
"283;""natural"";"""";"""""
"282;""help"";"""";"""""
"277;""nations"";"""";"""""
"270;""country"";"""";"""""
"268;""trump"";"""";"""""
"267;""california"";"""";"""""
"265;""offshore"";"""";"""""
"262;""need"";"""";"""""
"256;""federal"";"""";"""""
"246;""transition"";"""";"""""
"238;""administration"";"""";"""""
"238;""united"";"""";"""""
"226;""public"";"""";"""""
"223;""law"";"""";"""""
"219;""much"";"""";"""""
"218;""development"";"""";"""""
"205;""officials"";"""";"""""
"201;""water"";"""";"""""
"195;""demand"";"""";"""""
"195;""grid"";"""";"""""
"193;""agency"";"""";"""""
"189;""international"";"""";"""""
"186;""production"";"""";"""""
"186;""supply"";"""";"""""
"185;""greenhouse"";"""";"""""
"184;""money"";"""";"""""
"182;""economic"";"""";"""""
"182;""pollution"";"""";"""""
"180;""support"";"""";"""""
"176;""vehicles"";"""";"""""
"173;""storage"";"""";"""""
"170;""costs"";"""";"""""
"167;""china"";"""";"""""
"166;""director"";"""";"""""
"166;""green"";"""";"""""
"166;""policy"";"""";"""""
"164;""major"";"""";"""""
"162;""reduce"";"""";"""""
"161;""communities"";"""";"""""
"161;""investment"";"""";"""""
"159;""largest"";"""";"""""
"156;""national"";"""";"""""
"152;""small"";"""";"""""
"149;""economy"";"""";"""""
"149;""resources"";"""";"""""
"147;""technology"";"""";"""""
"143;""data"";"""";"""""
"143;""hydrogen"";"""";"""""
"143;""local"";"""";"""""
"142;""europe"";"""";"""""
"141;""bill"";"""";"""""
"140;""infrastructure"";"""";"""""
"135;""prices"";"""";"""""
"134;""experts"";"""";"""""
"134;""leaders"";"""";"""""
"134;""sources"";"""";"""""
"131;""department"";"""";"""""
"130;""american"";"""";"""""
"129;""battery"";"""";"""""
"129;""cost"";"""";"""""
"129;""mining"";"""";"""""
"128;""russia"";"""";"""""
"127;""action"";"""";"""""
"99;""diesel"";"""";"""""
"96;""financial"";"""";"""""
